藏族这套好漂亮呀
想看全身的
头饰大蒜的，俺也看成了
这发音好像泰语
壮语的恭喜发财好像不是这样说的吧（）
秀禾服补药啊。。
56枝花
这句蒙语的意思是新年快乐啊
哇哦，好隆重
对不起，把头上的装饰物看成大蒜了……
虽然很好看，但是去掉链子吧，土家不戴细链子的，有点影楼风了
完全不符合个人对汉族新娘的刻板印象
虽然但是，我们这儿结婚不这么穿啊
汉服选秀和服
土家族是有自己的语言，但没有自己文字。有些话说出来知道是什么意思，但写不出来
我大广西
壮话∶有钱多多
希望来个全身画面
哇，姐姐好用心
好久没刷到你了
如果全身更好  整体看全
为什么不拍横屏呀
蒙古族！！！
我去这个看着好有活泼少女感啊。很清爽的感觉。
最端庄贵气的一件
你还不如不说话呢
姐，你根本没有创作瓶颈吧
不。。。不。。。
你们来买
汉族是没有自己的服饰吗？
这不是满族？
婚礼服可以租的
壮族人表示听不懂，和我老家那边的不一样
啥米？？
啊，土家族还有自己的语言啊
大气
这个穿黑白色的人好像女王
壮族！！
好看
ahao
好普见啊
没有汉服？？？
秀禾服是影视作品衍生，名字含义也不好，不知道为什么成为主流
谢谢您带广西玩!!
赞赞赞赞
哇
赚钱多多哈哈哈哈哈哈
别五十六个星座五十六枝花了。改的什么东西，原版就是五十六个民族！这样才符合中华各族人民大团结的原意
不是56个民族56个星座吗？
安宁哈C哟
虽然但是姐姐这是秀禾服不是汉服
现在的土家族应该都不会讲自己的语言了吧，我以前读书的时候，我们班上超级多的土家族，跟汉族人差不多
最好看的服饰
得嘞！
这装束有点霸气啊！
这个绣球我笑了，广西绣球不长这样
彝族人爽啦
蒙古族！
等等，怎么有点恐怖的样子？
彝族！！！
好美好美
??秀禾服
啊啊啊土家族土家族，感觉我一个土家族听不明白土家话
我是刘德华
终于有我的民族了
我似！
彝族！
我靠这不同体验啊
土家族报道
都漂亮！
好漂亮啊
？？？？？？？
？？？？？？？
说的是新年快乐，用的是外蒙的字
主要人美，哪套都美
回族呢？？？？？？？我的回族呢我是回族的人
回族呢？
为什么要把大蒜顶头上
姨族服装相当大气
好隆重的服饰
哦豁哦豁
壮族的百里不同音千里不同俗没听说过？
扎西德勒秀
服装真的好精致
这个不太喜欢
畬族！畬族！畬族！
毛乖乖？
这个壮语，这个壮族人听不懂
你奶奶
广西人来了！
好正宗！！！
土家族来了
新年快乐？哈哈哈哈
这句是新年快乐的意思
看到那么多壮族人都听不懂我就放心了
我听不懂我壮族说的啥哈哈哈哈
哇，这也太美了
最喜欢彝族
这句我熟
好漂亮
瓦萨里
叫爸爸
这个注音可以
不要不要啊啊啊啊啊啊
都好漂亮啊
好像白玛。。呜呜藏族好美
汉族 所以为什么不用汉服
这啥？
好帅
扎西德勒！！！
我们蒙族！！
我就是土家族，婚服真的很美
。。。。这个还是要严谨点再做吧，这期不是很满意
乌拉
错了，我们现在57个名族，不信你去查一下，有个大和族
不是凤冠霞帔？
想看合集！！！
太好看啦！！！
哇这个美到我心巴上了
蒙古族粉丝来啦
汉族排面！！！
本土家族都不知道
土家族打拷
土家族！！！
为什么没有满族的
说汉族才是正宫的啥意思？
没有衣服全景，可惜了
新娘往身后扔筷子，意思是再也不吃娘家饭了，这个我不喜欢
我讲壮话的，没听懂？有钱多多？
世界小姐选美风格嘛
有新疆吗？
壮族这个的意思是有钱多多，当然你也可以理解为恭喜发财
太可了
好华丽啊
衣服真好看
都好美啊
好美
力帆摩托
帅
啊？我说壮话的 不是这个啊哈哈哈哈哈
好看好看
新年快乐哈哈哈
好美
China China China China
居然有朝鲜族啊啊啊啊啊
各民族祝福语，up用心了！
好美好美
普天同庆，大赦天下
绝对是曾文珺啊
啊啊啊我壮族的服饰真的很好看！
这种系列的视频就老想到她的大牙齿大舌头大嘴巴大喉咙：I am from ChinA~～～～～～
汉族的差点意思，汉服就好了
彝族娃来啦
但不是秀禾哈
真神
保安族！
我大满族格格呢？
好看好看，大气
看懂了
大手笔
发音有泰国那个味了
跟泰语很像
还有朝鲜族耶！姐姐好棒 纠正一下姐姐 朝鲜族婚服不是白色的，是彩色的哦！
壮语和泰语一个语系吧
真好看呀
我一个土家族 我听不懂
这是新年快乐
朝鲜族表示：这勉强不算婚服，但你穿着好看！
汉族啊
诶！
壮话你也会？！？
额…不应该凤冠霞帔吗？秀禾可不是汉族传统服饰
？唯一是不是有点。。。
好泰啊听着
武则天
壮族 这句话  不是这个吧   我一个壮族居然听不懂
土家族不是那样说话的呀
都好漂亮
伽瑶（幻视）
瓦萨里
好看
好活力
藏族的好美啊
果然汉族人最漂亮。
这个彝族服装太好看了
我们班很多藏族人。也有一些汉族
我就是汉族
我寻思这蒙语我也听不懂啊（本人蒙古族）
哈哈哈哈好像大蒜
彝族泼水是泼男方哈哈哈
镜头拉远点
高山族来凑热闹了
别提偷国
我壮族的，我竟然听不懂你说的啥
我也有这套
wooo
明晓晗最爱的女人来了吗
必须是曾文珺啊
肯定是曾文珺啊
明晓晗女人是曾文珺吗
我们班有一个土家族
明晓晗前来学习给老婆选婚纱
我们族耶，我也是藏族的
사랑해
사랑해
这个汉服怎么有点像蒙古族的衣服？
56个星座
哇哇哇，终于有壮族的了
恭喜发财
我要挨个打个遍
吃好喝好
好看
有钱多多
姐，你是真没创作瓶颈期呀
这不是广西的绣球！！！！
居然没有抛绣球？？？？？？
我一个壮族人听不懂哈哈
我是汉族的
啊啊啊啊啊啊
秀禾服真的不是汉族服装啊！
土家人在此
这不是汉服，算是新中式礼服
来啦！！好期待！！
啥啊？你再说
下血本的一期
这一声好像爱音
汉族VVDS
我是藏族，好看耶
头上顶的是大蒜吗
头上顶的是大吗
这下听懂了
56个民族，55个能歌善舞。
土家族！！
为啥只拍半身好可惜
本广西壮族人觉得挺美的
秀禾好史
汉族哪个朝代都有
还是咱们各个民族服饰好看！绝美百花齐放真好看
蒙古族认证，地道！
那个，不会讲发言可以求助万能网友
真神
居然有土家族
得闲饮茶
要有全身就好了
我们壮族这样？我一壮族的都不知道啊
这是什么鬼…
这个是不是有点影楼风了
哎呀妈，这套好看啊
彝族的服饰不同地方也是各有不同
好霸气好华丽
你们可能不清楚，对东亚东南亚各地，中国就是祖宗，他们有的地方原先历史都用中文记载，所以有语言听起来像中国少数民族语言很正常
你们可能不清楚，对东亚东南亚各地，中国就是祖宗，他们有的地方原先历史都用中文记载
我们中国真的太大太棒了
呜呜呜，突然想到了白玛
南岛语系？
还有86个未识别民族
啊啊啊啊啊汉族不要秀禾服啊！有那么多朝代的婚服可以选啊！！
听不懂。。。哈哈哈
？？？汉族不穿汉服，穿秀禾？？？
壮族好漂亮
哇，好好看
China！
蒙古族这个是新年快乐的意思，而且各个地区的婚服都不一样哦
太好看了
好漂亮
这个最好看
头上顶白花，看着好怪
像泰文
扎西德勒修！
我是土家族我咋不知道哈哈哈
爲什麽不是漢服 ？
她家的衣柜该得多大啊
都好好看！
丁真
我也是土家族
我看我们今天刚学
弹幕扎不多德勒
这bgm好难听啊
土 家的好看
因为汉族的最漂亮，不过蒙古族的也挺好看的。
不管什么民族都最美
秀禾服？两眼一黑，真难看
唯一的神。
太美了这个
白色的是丧服
澄清一下，朝鲜族传统婚礼服五颜六色的，红色主要
朝鲜族衣服真的很仙气
唯一真神
我是汉族
汉族在此。
我们蒙古族真的是这样的！特别漂亮！
现在不说56个民族了，因为不止56个~
你家是的勒。
说唯一真神的是不是有点太自满了
好看
刚看成苗族了
我咋记得57个了
好美好美
很难评居然是秀禾服
蒙古族这个好像唐嫣
李如儒也是李儒儒
吉克隽逸啊!
配上胸前配饰的声音很喜庆
蒙古族的好漂亮！！
本土家族啥都不会，服饰也没有呜呜
白事？
我们的民族
藏族的好戳我的审美啊
姐你只打高端局啊
大蒜
每一个都超级无敌漂亮
长得好看穿什么都好看
都好好看啊
壮语好像泰语啊
好霸气啊！这是族长吧？
好看
金九银十，结婚旺季
泰语
我都不知道自己是黑壮还是蓝壮
彝族太漂亮了
壮族这个跟泰语好像哈哈哈
这个好美啊
彝族！
漂亮是漂亮，但是请各位不要误导了，错的很离谱
每套都美
？？？
汉族喊啥，开饭吗？
我土家族，我都不知道还有土家话。
扎实的嘞
就是大蒜
都好漂亮
别人奶奶
啊啊啊啊这个好好看
五十六个星座，五十六枝花”
壮族人现身转达，这句是有钱多多
不是黑啊，头上顶个大蒜（还是南瓜），是啥意思啊？
汉族呢？
原来我土家族是这样
有点像韩国人。
这句话直译应该是“新年吉祥”吧
不是，我大秦大唐大宋大明汉服呢？谁给我偷换成秀禾啦！
小时候看到这个黑色服装很像是做妖术，电视剧影响太大了
都好漂亮啊
我丢676人啊
汉族不对
藏族这个像跳舞的简易服装  结婚穿的隆重太多了
秀禾 不知道谁发起的 寓意不好 怎么流行的
没叫“嫁衣”，挺好的
这个好好看！
这话我爱听
这个拍全身会不会更好？
果然是我们汉族的就是好看。
土家族!!!
嗦嘎
我是土家族
扎西德嘞修
加达乌干
恭喜发财
哇
你认真的吗？姐。
？？？不是到汉族这就整套秀禾服？
《自摸哥泥》
秀禾服补药啊！
尬
一看就是傣族（泼水节）
脸好看穿啥都好看
汉服？
？？？？？？？？？？
鬼片女主角
秀禾服还是算了吧，汉制唐制宋制明制婚服随便一套都比这好
我壮族的啊啊啊啊啊
唯一真神
新年快乐？？？
好好看啊
就是大蒜呀
五十六个民族五十六枝花，五十六个兄弟姐妹是一家~
壮族！！！爽了！！
接
是嘛
哇哦
来啦来啦
我土家族一点听不懂
妈妈级别的。。
天啊！好圣洁好美
听起来像韩语
为什么是秀禾服啊啊啊啊啊
还是汉族最大气
居然带我们土家族玩？
我是土家族，但是我连民族常服都没穿过呜呜
大祭司
好漂亮
好看，太好看了
壮族人学到了，嘿嘿
吉克隽逸！
人美穿什么都好看
都好漂亮
都好美
我去！！！帅
人美，真的是服饰衬托人
土家姑娘来围观
扎不多德勒
这个视频打了汉服的tag
感觉世界小姐在喊，她们这么喊其实很不好听
扎心得了
都好美啊
我们绣球好像不长这样
求得磨
没有一圈金手镯，我不信
我是土家族，我自己都不知道
我去藏族时学过这句。
？
还是汉族端庄优雅
开局高端啊
太大气了
不得不一键三连
白无垢
壮族好像泰语
好好看
我壮族来了，比心
这套衣服
壮族这个是有钱多多的意思
你好，结婚
一个土家族第一次听土家话
汉族凤冠霞帔
斯密达
夹心撒嘛
可惜女生打扮漂漂亮亮去迎接那个不漂亮的婚姻，很讽刺，尤其是部分少数民族还存在未成年结婚的情况。
秀禾hhhh
五十六个星座 五十六支花
不是五十六个新娘吗？
那么多你拍得完阿？
秀禾太近代了
来了！我大汉民族！
￼
广西人表示没听懂
我也壮族，没听懂
wc有壮族！还有壮语！！！
阿弥陀佛
是马皇后让平民女子结婚都能穿上凤冠霞帔
人漂亮穿啥都好看
？？？
这个我会，紮西德勒！
真神登场
为什么没有我的民族
霸气侧漏
蒙古之花
宰鹰鹰
哥哥仔
我列个苗疆
好看！壮族打call！
忠诚
有钱多多
。，，，
先点赞后看
最惊喜的是up的剪辑 毫无痕迹 每个走出来的人影子都是连贯的
头顶大蒜
蒙古族也不这样
汉族的这个收腰设计是现代改版的吧？
都一个调调
温馨提示不是你在拍
这个也太美了
这件才是最漂亮的
今年春晚没有你我不看
壮族人没听懂
哇
到我的民族啦！！！！
秀禾是电视剧虚构的
朝鲜族穿彩色的衣服
芝麻开门
《红河谷》宁静也有这样的造型！
其它民族呢。
妈呀这得多少斤啊
好美朝鲜族
汉族婚服应该是凤冠霞帔
好美啊
这个号！
学啥像啥
壮族有官方语言，人家说的可能是官方的，方言反正不是这样
两边的头带有讲究的 不只是几串珠子而已啦
好有女祭司的感觉
我老家！！！
人家本来也不是你们民族的，外族人学的不像很正常吧，一堆人搁那不是那样说的我怎么不知道是这样，人家基于对民族文化的尊重才出了这期视频，方言也专门学了，拜托你们也尊重人家吧
朝鲜族不穿白色结婚啊啊啊啊
比从小到大看人结婚穿的秀禾服更好看一些
天，好漂亮
这个就算了吧，汉服都不是
秀禾服不要啊啊啊啊啊啊
第一套好霸气
难道不是大蒜吗哈哈哈哈哈哈
彝族特别是几十年前的，女孩子出嫁是很难过的呀
哇好好看
瓦萨里
好看！
彝族彝族  这套花衣裳 我结婚的时候要穿
居然有壮族！！！！！太美了！！
毫无瓶颈期
细品了一下这句直译应该是有钱多多
力帆摩托
到位，在西昌拍过这个彝族服饰
我是我是！！！
会的真多啊
秀禾。。。。
华筝
都很美
《真神》
清式？不喜欢
土家族报到！！
阿尼阿塞哟
哇，居然有我的民族
大蒜那个害我拖进度条又看一遍（
我土家族，，听不懂。。。
不是，我就是壮族的。我怎么不知道，还有这句方言
土家族！！！！
只听得懂lailai是多多的意思
壮族狂喜！居然能这么早上桌吃饭，好开心啊～～～
你是把每个民族的服装都买了吗
这期真的是天花板了
这跟孝庄没半毛关系，这是仿唐嫣
这是民族服饰吧？不是民族婚服
壮族！！！
我们的绣球不是这个！
我我我我是土家族！
wasali～
民族的就是最美的！
头顶大蒜，哈哈哈
好好康u
韩国人又要生气咯
我是壮族，我们的民族服饰比这个好看多了
有钱多多的意思
好家伙！还会各族语言！！！
瓦萨丽
女王陛下
好可爱！！
姐姐的朝鲜族服饰比韩国现在影视剧上偷的汉服好看
难看
头冠歪了？
我最近才知道我是彝族的
？汉服穿秀禾？
我靠女皇
好美啊
给币
广西人
头饰好像大蒜啊哈哈哈哈哈
冷知识：壮话每过一个村，调子和词语都会不一样
韩国
好大气的婚服
真的真的一模一样。
我土家族这么靠前，也是值了
有请各地方言警察出场
居然有土家族
瘦脸特效
壮族的绣球不是这样的呀
泼水是订婚时候的习俗哦
啊啊啊啊，好爱着这个系列
都好美啊！
稳重大气
我们壮族lai
都好美啊
土家族的方言不是这样吧
纠正一下，现在不止56了
口音好怪
可能说的是标准壮语，毕竟壮语发音很多种
壮族人表示听不懂，壮族有很多种方言的
吉克隽逸！
你这是新年快乐的意思
土家话还挺好听的
力帆摩托
眼前一亮又一亮
姐姐说的新年快乐
血本啊
反正都是我老婆
哇哇哇哇，我是土家族！！！
秀禾服很好看，现在结婚也有很多人穿
评论区那个自称汉族人少到处出警，汉服圈小姐姐管天管地
好美
绝美！
爱看！多发
丽桑卓
汉族不是这样。。凤冠霞帔了解一下
土家族人在此！！！
我土家族的服饰好美，虽然我没穿过啊哈哈哈哈
像泰语
哇哦！！原来我土家族是这样的婚服
五十六个星座
土家这家好好看啊！！！
像走红毯
阿西得了
为什么不是汉服？
婚服跟平时穿的差不多？
虽然但是，头顶这个好像大蒜
让我们一起来恭喜这个男人拥有了自己的生育机器&仆人
五十六个星座五十六只花
穿啥都好看
主要是人美
有钱多多的意思吧
图雅
芜湖～
力帆摩托
让我想起了涂鸦老师对不起……
好好听的语言！
